Name,Table Name,Extended From Class,CI Family,Created
Kubernetes Node,cmdb_ci_kubernetes_node,Kubernetes Component,cmdb_ci_kubernetes,05/03/2021 23:30
Kubernetes Pod,cmdb_ci_kubernetes_pod,Kubernetes Component,cmdb_ci_kubernetes,05/03/2021 23:43
Kubernetes Service,cmdb_ci_kubernetes_service,Kubernetes Component,cmdb_ci_kubernetes,05/03/2021 23:50
Kubernetes StatefulSet,cmdb_ci_kubernetes_statefulset,Kubernetes Workload,cmdb_ci_kubernetes,05/03/2021 23:40
Kubernetes Volume,cmdb_ci_kubernetes_volume,Kubernetes Component,cmdb_ci_kubernetes,05/03/2021 23:41
Kubernetes Workload,cmdb_ci_kubernetes_workload,Kubernetes Component,cmdb_ci_kubernetes,05/03/2021 23:40
KVM,cmdb_ci_kvm,Virtual Machine HyperVisor,cmdb_ci_kvm,06/03/2015 17:57
KVM Object,cmdb_ci_kvm_object,Virtual Machine Object,cmdb_ci_kvm,06/03/2015 17:57
KVM Storage Pool,cmdb_ci_kvm_storage_pool,KVM Object,cmdb_ci_kvm,06/03/2015 17:57
KVM Storage Volume,cmdb_ci_kvm_storage_volume,KVM Object,cmdb_ci_kvm,06/03/2015 17:57
KVM Virtual Machine Instance,cmdb_ci_kvm_vm_instance,Virtual Machine Instance,cmdb_ci_kvm,06/03/2015 17:57
LB Backend Server,cmdb_ci_lb_backend_server,Virtual Machine Object,cmdb_ci_lb,22/02/2018 19:23
LB Cookie Stickiness Policy,cmdb_ci_lb_ckstickinesspolicy,Virtual Machine Object,cmdb_ci_lb,22/02/2018 19:23
LB Datacenter,cmdb_ci_lb_datacenter,Logical Datacenter,cmdb_ci_lb,22/02/2018 19:23
LDAP DB,cmdb_ci_directory_ldap,LDAP Service,cmdb_ci_directory,11/08/2016 19:24
LDAP DB EP,cmdb_ci_endpoint_ldap_db,Inclusion Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
LDAP Endpoint,cmdb_ci_endpoint_ldap,Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
LDAP Service,cmdb_ci_infra_service_ldap,Infrastructure Service,cmdb_ci_infra,06/03/2015 17:57
LIF,cmdb_ci_lif,Virtual Machine Object,cmdb_ci_lif,22/02/2018 19:23
Linux Server,cmdb_ci_linux_server,Server,cmdb_ci_linux,06/03/2015 17:57
Load Balancer,cmdb_ci_lb,Server,cmdb_ci_lb,06/03/2015 17:57
Load Balancer Application,cmdb_ci_lb_appl,Application,cmdb_ci_lb,06/01/2016 04:04
Load Balancer Interface,cmdb_ci_lb_interface,Configuration Item,cmdb_ci_lb,06/03/2015 17:57
Load Balancer Listener,cmdb_ci_lb_listener,Virtual Machine Object,cmdb_ci_lb,22/02/2018 19:23
Load Balancer Pool,cmdb_ci_lb_pool,Configuration Item,cmdb_ci_lb,06/03/2015 17:57
Load Balancer Pool Member,cmdb_ci_lb_pool_member,Configuration Item,cmdb_ci_lb,06/03/2015 17:57
Load Balancer Service,cmdb_ci_lb_service,Configuration Item,cmdb_ci_lb,06/03/2015 17:57
Load Balancer Template,cmdb_ci_lb_template,Virtual Machine Object,cmdb_ci_lb,22/02/2018 19:23
Load Balancer VLAN,cmdb_ci_lb_vlan,Configuration Item,cmdb_ci_lb,06/03/2015 17:57
Logical Datacenter,cmdb_ci_logical_datacenter,VMware vCenter Object,cmdb_ci_logical,22/02/2018 19:23
Logical Partition,cmdb_ci_lpar,Configuration Item,cmdb_ci_lpar,11/08/2016 19:24
Lotus Domino HTTP Server,cmdb_ci_web_domino,Application,cmdb_ci_web,11/08/2016 19:24
LPAR Resource,cmdb_ci_lpar_resource,Configuration Item,cmdb_ci_lpar,06/03/2021 00:25
LVM Pool,cmdb_ci_lvm_pool,Storage Pool,cmdb_ci_lvm,06/03/2015 17:57
LVM Pool Member,cmdb_ci_lvm_pool_member,Storage Pool Member,cmdb_ci_lvm,06/03/2015 17:57
Mainframe Hardware,cmdb_ci_mainframe_hardware,Computer,cmdb_ci_mainframe,11/08/2016 19:24
Management Server,cmdb_ci_config_automation_server,Application,cmdb_ci_config,06/03/2015 17:58
Manual CI Endpoint Qualifier,cmdb_ci_qualifier_manual_ci_endpoint,Qualifier,cmdb_ci_qualifier,16/05/2019 18:13
Manual Connection Qualifier,cmdb_ci_qualifier_manual_connection,Qualifier,cmdb_ci_qualifier,11/08/2016 19:25
Manual Endpoint,cmdb_ci_endpoint_manual,Endpoint,cmdb_ci_endpoint,16/05/2019 18:13
Manual Service,cmdb_ci_service_manual,Application Service,cmdb_ci_service,29/08/2019 17:02
Manufacturing Device,cmdb_ci_manufacturing,IoT Device,cmdb_ci_manufacturing,06/03/2021 00:15
MAPI Endpoint,cmdb_ci_endpoint_mapi,Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
MAPI-HUB Endpoint,cmdb_ci_endpoint_mapi_hub,Endpoint,cmdb_ci_endpoint,11/08/2016 19:22
Mapped Application Service,cmdb_ci_service_discovered,Application Service,cmdb_ci_service,16/05/2019 18:14
Mass Storage Device,cmdb_ci_msd,Hardware,cmdb_ci_msd,06/03/2015 17:57
Media Player,cmdb_ci_media_player,Multimedia Device,cmdb_ci_media,06/03/2021 00:56
Medical Device,cmdb_ci_medical,IoT Device,cmdb_ci_medical,06/03/2021 00:13
Medical Diagnostic Device,cmdb_ci_med_diagnostic,Medical Device,cmdb_ci_med,06/03/2021 00:47
Medical Measuring Device,cmdb_ci_med_measuring,Medical Device,cmdb_ci_med,06/03/2021 00:57
Medical Monitoring Device,cmdb_ci_med_monitoring,Medical Device,cmdb_ci_med,06/03/2021 00:45
Medical Support Device,cmdb_ci_med_support,Medical Device,cmdb_ci_med,06/03/2021 00:14
Medical Therapeutic Device,cmdb_ci_med_theraputic,Medical Device,cmdb_ci_med,06/03/2021 00:27
Memory Module,cmdb_ci_memory_module,Configuration Item,cmdb_ci_memory,06/03/2015 17:57
Microsoft iis Web Server,cmdb_ci_microsoft_iis_web_server,Web Server,cmdb_ci_microsoft,11/08/2016 19:23
Mirror Template,cmdb_ci_mirror_template,Virtual Machine Object,cmdb_ci_mirror,22/02/2018 19:23
Model Entry,cmdb_ci_model_entry,,cmdb_ci_model,06/03/2015 17:57
Modem Hardware,cmdb_ci_modem_network,Network Gear,cmdb_ci_modem,11/08/2016 19:23
Modjk Load Balancer,cmdb_ci_lb_modjk,Load Balancer Application,cmdb_ci_lb,11/08/2016 19:24
ModProxy Load Balancer,cmdb_ci_lb_modproxy,Load Balancer Application,cmdb_ci_lb,11/08/2016 19:22
Mongo Config Server,cmdb_ci_appl_mongo_config_serv,Application,cmdb_ci_appl,11/08/2016 19:23
MongoDB Instance,cmdb_ci_db_mongodb_instance,Database Instance,cmdb_ci_db,06/03/2015 17:58
Mongos Server,cmdb_ci_appl_mongos,Application,cmdb_ci_appl,11/08/2016 19:23
Monitoring Equipment,cmdb_ci_monitoring_hardware,Configuration Item,cmdb_ci_monitoring,11/08/2016 19:23
MQ Cross-memory Endpoint,cmdb_ci_endpoint_mq_mem,Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
MQ Endpoint,cmdb_ci_endpoint_mq,Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
MQ Flow Endpoint,cmdb_ci_endpoint_mq_flow,Endpoint,cmdb_ci_endpoint,11/08/2016 19:22
MQ Queue,cmdb_ci_endpoint_mq_queue,Inclusion Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
MS SQL DataBase,cmdb_ci_db_mssql_database,Database Instance,cmdb_ci_db,11/08/2016 19:24
MS SQL db inclusion,cmdb_ci_endpoint_ms_sql,Inclusion Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
MS SQL Server,cmdb_ci_db_mssql_server,Database Instance,cmdb_ci_db,11/08/2016 19:23
MS SQL Server Endpoint,cmdb_ci_endpoint_ms_sql_server,Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
